"sciname","TempMin","TempMax","EnvTemp"
"Exallias brevis",NA,NA,"tropical"
"Glyptoparus delicatulus",NA,NA,"tropical"
"Haptogenys bipunctata",NA,NA,"tropical"
"Hirculops cornifer",NA,NA,"tropical"
"Hypleurochilus aequipinnis",NA,NA,"tropical"
"Hypleurochilus bananensis",NA,NA,"subtropical"
"Hypleurochilus bermudensis",NA,NA,"tropical"
"Hypleurochilus brasil",NA,NA,"tropical"
"Hypleurochilus caudovittatus",NA,NA,"subtropical"
"Hypleurochilus fissicornis",NA,NA,"tropical"
"Hypleurochilus geminatus",NA,NA,"subtropical"
"Hypleurochilus langi",NA,NA,"tropical"
"Hypleurochilus multifilis",NA,NA,"tropical"
"Hypleurochilus pseudoaequipinnis",NA,NA,"tropical"
"Hypleurochilus springeri",NA,NA,"tropical"
"Hypsoblennius brevipinnis",NA,NA,"tropical"
"Hypsoblennius caulopus",NA,NA,"tropical"
"Hypsoblennius digueti",NA,NA,"subtropical"
"Hypsoblennius exstochilus",NA,NA,"tropical"
"Hypsoblennius gentilis",NA,NA,"subtropical"
"Hypsoblennius gilberti",NA,NA,"subtropical"
"Hypsoblennius hentz",NA,NA,"temperate"
"Hypsoblennius invemar",NA,NA,"tropical"
"Hypsoblennius ionthas",NA,NA,"tropical"
"Hypsoblennius jenkinsi",NA,NA,"subtropical"
"Hypsoblennius maculipinna",NA,NA,"tropical"
"Hypsoblennius paytensis",NA,NA,"tropical"
"Hypsoblennius proteus",NA,NA,"tropical"
"Hypsoblennius robustus",NA,NA,"tropical"
"Hypsoblennius sordidus",NA,NA,"temperate"
"Hypsoblennius striatus",NA,NA,"tropical"
"Istiblennius bellus",NA,NA,"tropical"
"Istiblennius colei",NA,NA,"tropical"
"Istiblennius dussumieri",NA,NA,"tropical"
"Istiblennius edentulus",NA,NA,"tropical"
"Istiblennius flaviumbrinus",NA,NA,"tropical"
"Istiblennius lineatus",NA,NA,"tropical"
"Istiblennius meleagris",NA,NA,"tropical"
"Istiblennius muelleri",NA,NA,"tropical"
"Istiblennius pox",NA,NA,"tropical"
"Istiblennius rivulatus",NA,NA,"tropical"
"Istiblennius spilotus",NA,NA,"tropical"
"Istiblennius steindachneri",NA,NA,"tropical"
"Istiblennius unicolor",NA,NA,"tropical"
"Istiblennius zebra",NA,NA,"tropical"
"Laiphognathus longispinis",NA,NA,"temperate"
"Laiphognathus multimaculatus",NA,NA,"tropical"
"Lipophrys pholis",NA,NA,"temperate"
"Lipophrys trigloides",NA,NA,"subtropical"
"Litobranchus fowleri",NA,NA,"tropical"
"Lupinoblennius nicholsi",NA,NA,"subtropical"
"Lupinoblennius paivai",NA,NA,"tropical"
"Lupinoblennius vinctus",NA,NA,"tropical"
"Medusablennius chani",NA,NA,"tropical"
"Meiacanthus abditus",NA,NA,"tropical"
"Meiacanthus abruptus",NA,NA,"tropical"
"Meiacanthus anema",NA,NA,"tropical"
"Meiacanthus atrodorsalis",NA,NA,"tropical"
"Meiacanthus bundoon",NA,NA,"tropical"
"Meiacanthus crinitus",NA,NA,"tropical"
"Meiacanthus cyanopterus",NA,NA,"tropical"
"Meiacanthus ditrema",NA,NA,"tropical"
"Meiacanthus erdmanni",NA,NA,"tropical"
"Meiacanthus fraseri",NA,NA,"tropical"
"Meiacanthus geminatus",NA,NA,"tropical"
"Meiacanthus grammistes",NA,NA,"tropical"
"Meiacanthus kamoharai",NA,NA,"temperate"
"Meiacanthus limbatus",NA,NA,"tropical"
"Meiacanthus lineatus",NA,NA,"tropical"
"Meiacanthus luteus",NA,NA,"tropical"
"Meiacanthus mossambicus",NA,NA,"tropical"
"Meiacanthus naevius",NA,NA,"tropical"
"Meiacanthus nigrolineatus",NA,NA,"tropical"
"Meiacanthus oualanensis",NA,NA,"tropical"
"Meiacanthus phaeus",NA,NA,"tropical"
"Meiacanthus procne",NA,NA,"tropical"
"Meiacanthus reticulatus",NA,NA,"tropical"
"Meiacanthus smithi",NA,NA,"tropical"
"Meiacanthus tongaensis",NA,NA,"tropical"
"Meiacanthus urostigma",NA,NA,"tropical"
"Meiacanthus vicinus",NA,NA,"tropical"
"Meiacanthus vittatus",NA,NA,"tropical"
"Microlipophrys adriaticus",NA,NA,"subtropical"
"Microlipophrys bauchotae",NA,NA,"tropical"
"Microlipophrys caboverdensis",NA,NA,"tropical"
"Microlipophrys canevae",NA,NA,"subtropical"
"Microlipophrys dalmatinus",NA,NA,"subtropical"
"Microlipophrys nigriceps",NA,NA,"subtropical"
"Microlipophrys velifer",NA,NA,"tropical"
"Mimoblennius atrocinctus",NA,NA,"tropical"
"Mimoblennius cas",NA,NA,"tropical"
"Mimoblennius cirrosus",NA,NA,"tropical"
"Mimoblennius lineathorax",NA,NA,"tropical"
"Mimoblennius rusi",NA,NA,"subtropical"
"Nannosalarias nativitatis",NA,NA,"tropical"
"Oman ypsilon",NA,NA,"tropical"
"Omobranchus anolius",NA,NA,"subtropical"
"Omobranchus aurosplendidus",NA,NA,"subtropical"
"Omobranchus banditus",NA,NA,"subtropical"
"Omobranchus elegans",NA,NA,"subtropical"
"Omobranchus elongatus",22,28,"tropical"
"Omobranchus fasciolatoceps",NA,NA,"temperate"
"Omobranchus fasciolatus",NA,NA,"tropical"
"Omobranchus ferox",NA,NA,"tropical"
"Omobranchus germaini",NA,NA,"tropical"
"Omobranchus hikkaduwensis",NA,NA,"tropical"
"Omobranchus loxozonus",NA,NA,"subtropical"
"Omobranchus mekranensis",NA,NA,"tropical"
"Omobranchus obliquus",NA,NA,"tropical"
"Omobranchus punctatus",NA,NA,"tropical"
"Omobranchus robertsi",NA,NA,"tropical"
"Omobranchus rotundiceps",NA,NA,"tropical"
"Omobranchus smithi",NA,NA,"tropical"
"Omobranchus steinitzi",NA,NA,"tropical"
"Omobranchus verticalis",NA,NA,"tropical"
"Omobranchus woodi",NA,NA,"subtropical"
"Omobranchus zebra",NA,NA,"tropical"
"Omox biporos",NA,NA,"tropical"
"Omox lupus",NA,NA,"tropical"
"Ophioblennius atlanticus",NA,NA,"tropical"
"Ophioblennius clippertonensis",NA,NA,"tropical"
"Ophioblennius macclurei",NA,NA,"tropical"
"Ophioblennius steindachneri",NA,NA,"tropical"
"Ophioblennius trinitatis",NA,NA,"subtropical"
"Parablennius cornutus",NA,NA,"subtropical"
"Parablennius cyclops",NA,NA,"tropical"
"Parablennius dialloi",NA,NA,"tropical"
"Parablennius gattorugine",NA,NA,"subtropical"
"Parablennius goreensis",NA,NA,"tropical"
"Parablennius incognitus",NA,NA,"subtropical"
"Parablennius intermedius",NA,NA,"subtropical"
"Parablennius laticlavius",NA,NA,"subtropical"
"Parablennius lodosus",NA,NA,"subtropical"
"Parablennius marmoreus",NA,NA,"subtropical"
"Parablennius opercularis",NA,NA,"tropical"
"Parablennius parvicornis",NA,NA,"subtropical"
"Parablennius pilicornis",NA,NA,"subtropical"
"Parablennius postoculomaculatus",NA,NA,"subtropical"
"Parablennius rouxi",NA,NA,"subtropical"
"Parablennius ruber",NA,NA,"subtropical"
"Parablennius salensis",NA,NA,"tropical"
"Parablennius sanguinolentus",NA,NA,"subtropical"
"Parablennius serratolineatus",NA,NA,"subtropical"
"Parablennius sierraensis",NA,NA,"tropical"
"Parablennius tasmanianus",NA,NA,"temperate"
"Parablennius tentacularis",NA,NA,"subtropical"
"Parablennius thysanius",NA,NA,"tropical"
"Parablennius verryckeni",NA,NA,"tropical"
"Parablennius yatabei",NA,NA,"temperate"
"Parablennius zvonimiri",NA,NA,"subtropical"
"Parahypsos piersoni",NA,NA,"tropical"
"Paralticus amboinensis",NA,NA,"tropical"
"Parenchelyurus hepburni",NA,NA,"tropical"
"Parenchelyurus hyena",NA,NA,"tropical"
"Pereulixia kosiensis",NA,NA,"subtropical"
"Petroscirtes ancylodon",NA,NA,"tropical"
"Petroscirtes breviceps",22,28,"tropical"
"Petroscirtes fallax",NA,NA,"tropical"
"Petroscirtes lupus",NA,NA,"subtropical"
"Petroscirtes marginatus",NA,NA,"deep-water"
"Petroscirtes mitratus",NA,NA,"tropical"
"Petroscirtes pylei",NA,NA,"deep-water"
"Petroscirtes springeri",NA,NA,"temperate"
"Petroscirtes thepassii",NA,NA,"tropical"
"Petroscirtes variabilis",NA,NA,"tropical"
"Petroscirtes xestus",NA,NA,"tropical"
"Phenablennius heyligeri",NA,NA,"tropical"
"Plagiotremus azaleus",NA,NA,"tropical"
"Plagiotremus ewaensis",NA,NA,"tropical"
"Plagiotremus flavus",NA,NA,"tropical"
"Plagiotremus goslinei",NA,NA,"tropical"
"Plagiotremus iosodon",NA,NA,"tropical"
"Plagiotremus laudandus",NA,NA,"tropical"
"Plagiotremus phenax",NA,NA,"tropical"
"Plagiotremus rhinorhynchos",NA,NA,"subtropical"
"Plagiotremus spilistius",NA,NA,"tropical"
"Plagiotremus tapeinosoma",NA,NA,"tropical"
"Plagiotremus townsendi",NA,NA,"tropical"
"Praealticus bilineatus",NA,NA,"tropical"
"Praealticus caesius",NA,NA,"tropical"
"Praealticus dayi",NA,NA,"tropical"
"Praealticus labrovittatus",NA,NA,"tropical"
"Praealticus margaritarius",NA,NA,"tropical"
"Praealticus margaritatus",NA,NA,"tropical"
"Praealticus multistriatus",NA,NA,"tropical"
"Praealticus natalis",NA,NA,"tropical"
"Praealticus oortii",NA,NA,"tropical"
"Praealticus poptae",NA,NA,"tropical"
"Praealticus semicrenatus",NA,NA,"tropical"
"Praealticus striatus",NA,NA,"tropical"
"Praealticus tanegasimae",NA,NA,"tropical"
"Praealticus triangulus",NA,NA,"tropical"
"Rhabdoblennius nigropunctatus",NA,NA,"tropical"
"Rhabdoblennius nitidus",NA,NA,"temperate"
"Rhabdoblennius papuensis",NA,NA,"tropical"
"Rhabdoblennius rhabdotrachelus",NA,NA,"tropical"
"Rhabdoblennius snowi",NA,NA,"tropical"
"Salaria atlantica",NA,NA,"subtropical"
"Salaria basilisca",18,22,"subtropical"
"Salaria economidisi",NA,NA,"temperate"
"Salaria fluviatilis",18,24,"subtropical"
"Salaria pavo",NA,NA,"subtropical"
"Salarias alboguttatus",NA,NA,"tropical"
"Salarias ceramensis",NA,NA,"tropical"
"Salarias fasciatus",NA,NA,"tropical"
"Salarias guttatus",NA,NA,"tropical"
"Salarias luctuosus",NA,NA,"subtropical"
"Salarias nigrocinctus",NA,NA,"tropical"
"Salarias obscurus",NA,NA,"tropical"
"Salarias patzneri",NA,NA,"tropical"
"Salarias ramosus",NA,NA,"tropical"
"Salarias segmentatus",NA,NA,"tropical"
"Salarias sexfilum",NA,NA,"tropical"
"Salarias sibogai",NA,NA,"tropical"
"Salarias sinuosus",NA,NA,"tropical"
"Scartella caboverdiana",NA,NA,"tropical"
"Scartella cristata",NA,NA,"tropical"
"Scartella emarginata",NA,NA,"tropical"
"Scartella itajobi",NA,NA,"tropical"
"Scartella nuchifilis",NA,NA,"tropical"
"Scartella poiti",NA,NA,"tropical"
"Scartella springeri",NA,NA,"tropical"
"Scartichthys crapulatus",NA,NA,"temperate"
"Scartichthys gigas",NA,NA,"tropical"
"Scartichthys variolatus",NA,NA,"subtropical"
"Scartichthys viridis",NA,NA,"subtropical"
"Spaniblennius clandestinus",NA,NA,"tropical"
"Spaniblennius riodourensis",NA,NA,"subtropical"
"Stanulus seychellensis",NA,NA,"tropical"
"Stanulus talboti",NA,NA,"tropical"
"Xiphasia matsubarai",NA,NA,"deep-water"
"Xiphasia setifer",NA,NA,"tropical"
"Arnoglossus andrewsi",NA,NA,"temperate"
"Arnoglossus arabicus",NA,NA,"deep-water"
"Arnoglossus armstrongi",NA,NA,"temperate"
"Arnoglossus aspilos",NA,NA,"tropical"
"Arnoglossus bassensis",NA,NA,"subtropical"
"Arnoglossus boops",NA,NA,"deep-water"
"Arnoglossus brunneus",NA,NA,"deep-water"
"Arnoglossus capensis",NA,NA,"subtropical"
"Arnoglossus coeruleosticta",NA,NA,"subtropical"
"Arnoglossus dalgleishi",NA,NA,"tropical"
"Arnoglossus debilis",NA,NA,"tropical"
"Arnoglossus elongatus",NA,NA,"tropical"
"Arnoglossus fisoni",NA,NA,"temperate"
"Arnoglossus grohmanni",NA,NA,"temperate"
"Arnoglossus imperialis",NA,NA,"subtropical"
"Arnoglossus japonicus",NA,NA,"temperate"
"Arnoglossus kessleri",NA,NA,"subtropical"
"Arnoglossus laterna",NA,NA,"subtropical"
"Arnoglossus macrolophus",NA,NA,"tropical"
"Arnoglossus marisrubri",NA,NA,"deep-water"
"Arnoglossus micrommatus",NA,NA,"subtropical"
"Arnoglossus muelleri",NA,NA,"temperate"
"Arnoglossus multirastris",NA,NA,"subtropical"
"Arnoglossus nigrifrons",NA,NA,"deep-water"
"Arnoglossus oxyrhynchus",NA,NA,"temperate"
"Arnoglossus polyspilus",NA,NA,"tropical"
"Arnoglossus rueppelii",NA,NA,"subtropical"
"Arnoglossus sayaensis",NA,NA,"deep-water"
"Arnoglossus scapha",NA,NA,"deep-water"
"Arnoglossus septemventralis",NA,NA,"deep-water"
"Arnoglossus tapeinosoma",NA,NA,"subtropical"
"Arnoglossus tenuis",NA,NA,"temperate"
"Arnoglossus thori",NA,NA,"subtropical"
"Arnoglossus waitei",NA,NA,"tropical"
"Arnoglossus yamanakai",NA,NA,"tropical"
"Asterorhombus cocosensis",NA,NA,"tropical"
"Asterorhombus filifer",NA,NA,"tropical"
"Asterorhombus intermedius",NA,NA,"tropical"
"Bothus assimilis",NA,NA,"subtropical"
"Bothus constellatus",NA,NA,"subtropical"
"Bothus ellipticus",NA,NA,"tropical"
"Bothus guibei",NA,NA,"tropical"
"Bothus leopardinus",NA,NA,"tropical"
"Bothus lunatus",NA,NA,"tropical"
"Bothus maculiferus",NA,NA,"tropical"
"Bothus mancus",NA,NA,"tropical"
"Bothus mellissi",NA,NA,"tropical"
"Bothus myriaster",NA,NA,"tropical"
"Bothus ocellatus",NA,NA,"tropical"
"Bothus pantherinus",NA,NA,"tropical"
"Bothus podas",NA,NA,"subtropical"
"Bothus robinsi",NA,NA,"tropical"
"Bothus swio",NA,NA,"tropical"
"Bothus tricirrhitus",NA,NA,"tropical"
"Chascanopsetta crumenalis",NA,NA,"deep-water"
"Chascanopsetta elski",NA,NA,"deep-water"
"Chascanopsetta kenyaensis",NA,NA,"deep-water"
"Chascanopsetta lugubris",NA,NA,"deep-water"
"Chascanopsetta megagnatha",NA,NA,"deep-water"
"Chascanopsetta micrognatha",NA,NA,"deep-water"
"Chascanopsetta prognatha",NA,NA,"deep-water"
"Chascanopsetta prorigera",NA,NA,"deep-water"
"Crossorhombus azureus",NA,NA,"tropical"
"Crossorhombus howensis",NA,NA,"temperate"
"Crossorhombus kanekonis",NA,NA,"subtropical"
"Crossorhombus kobensis",NA,NA,"temperate"
"Crossorhombus valderostratus",NA,NA,"tropical"
"Engyophrys sanctilaurentii",NA,NA,"tropical"
"Engyophrys senta",NA,NA,"tropical"
"Engyprosopon annulatus",NA,NA,"tropical"
"Engyprosopon arenicola",NA,NA,"subtropical"
"Engyprosopon bellonaensis",NA,NA,"tropical"
"Engyprosopon bleekeri",NA,NA,"tropical"
"Engyprosopon filipennis",NA,NA,"subtropical"
"Engyprosopon grandisquama",NA,NA,"tropical"
"Engyprosopon hawaiiensis",NA,NA,"tropical"
"Engyprosopon hensleyi",NA,NA,"deep-water"
"Engyprosopon hureaui",NA,NA,"tropical"
"Engyprosopon kushimotoensis",NA,NA,"temperate"
"Engyprosopon latifrons",NA,NA,"tropical"
"Engyprosopon longipelvis",NA,NA,"subtropical"
"Engyprosopon longipterum",NA,NA,"tropical"
"Engyprosopon macrolepis",NA,NA,"tropical"
"Engyprosopon maldivensis",NA,NA,"tropical"
"Engyprosopon marquisensis",NA,NA,"tropical"
"Engyprosopon mogkii",NA,NA,"tropical"
"Engyprosopon mozambiquensis",NA,NA,"tropical"
"Engyprosopon multisquama",NA,NA,"temperate"
"Engyprosopon natalensis",NA,NA,"subtropical"
"Engyprosopon obliquioculatum",NA,NA,"tropical"
"Engyprosopon osculus",NA,NA,"tropical"
"Engyprosopon raoulensis",NA,NA,"temperate"
"Engyprosopon regani",NA,NA,"subtropical"
"Engyprosopon rostratum",NA,NA,"deep-water"
"Engyprosopon sechellensis",NA,NA,"tropical"
"Engyprosopon septempes",NA,NA,"tropical"
"Engyprosopon vanuatuensis",NA,NA,"tropical"
"Engyprosopon xenandrus",NA,NA,"tropical"
"Engyprosopon xystrias",NA,NA,"temperate"
"Grammatobothus krempfi",NA,NA,"tropical"
"Grammatobothus pennatus",NA,NA,"tropical"
"Grammatobothus polyophthalmus",NA,NA,"tropical"
"Japonolaeops dentatus",NA,NA,"deep-water"
"Kamoharaia megastoma",NA,NA,"deep-water"
"Laeops clarus",NA,NA,"deep-water"
"Laeops cypho",NA,NA,"deep-water"
"Laeops gracilis",NA,NA,"deep-water"
"Laeops guentheri",NA,NA,"tropical"
"Laeops kitaharae",NA,NA,"tropical"
"Laeops macrophthalmus",NA,NA,"tropical"
"Laeops natalensis",NA,NA,"deep-water"
"Laeops nigrescens",NA,NA,"subtropical"
"Laeops nigromaculatus",NA,NA,"temperate"
"Laeops parviceps",NA,NA,"deep-water"
"Laeops pectoralis",NA,NA,"deep-water"
"Laeops sinusarabici",NA,NA,"tropical"
"Laeops tungkongensis",NA,NA,"tropical"
"Lophonectes gallus",NA,NA,"temperate"
"Lophonectes mongonuiensis",NA,NA,"subtropical"
"Monolene antillarum",NA,NA,"subtropical"
"Monolene asaedae",NA,NA,"tropical"
"Monolene atrimana",NA,NA,"deep-water"
"Monolene danae",NA,NA,"deep-water"
"Monolene dubiosa",NA,NA,"tropical"
"Monolene helenensis",NA,NA,"deep-water"
"Monolene maculipinna",NA,NA,"deep-water"
"Monolene megalepis",NA,NA,"tropical"
"Monolene mertensi",NA,NA,"tropical"
"Monolene microstoma",NA,NA,"deep-water"
"Monolene sessilicauda",NA,NA,"deep-water"
"Neolaeops microphthalmus",NA,NA,"deep-water"
"Parabothus amaokai",NA,NA,"subtropical"
"Parabothus budkeri",NA,NA,"tropical"
"Parabothus chlorospilus",NA,NA,"tropical"
"Parabothus coarctatus",NA,NA,"deep-water"
"Parabothus filipes",NA,NA,"deep-water"
"Parabothus kiensis",NA,NA,"deep-water"
"Parabothus malhensis",NA,NA,"subtropical"
"Parabothus polylepis",NA,NA,"tropical"
"Parabothus taiwanensis",NA,NA,"subtropical"
"Perissias taeniopterus",NA,NA,"tropical"
"Psettina brevirictis",NA,NA,"tropical"
"Psettina filimana",NA,NA,"subtropical"
"Psettina gigantea",NA,NA,"tropical"
"Psettina hainanensis",NA,NA,"tropical"
"Psettina iijimae",NA,NA,"tropical"
"Psettina multisquamea",NA,NA,"tropical"
"Psettina profunda",NA,NA,"tropical"
"Psettina senta",NA,NA,"deep-water"
"Psettina tosana",NA,NA,"temperate"
"Psettina variegata",NA,NA,"tropical"
"Taeniopsetta ocellata",NA,NA,"deep-water"
"Taeniopsetta radula",NA,NA,"subtropical"
"Tosarhombus brevis",NA,NA,"deep-water"
"Tosarhombus longimanus",NA,NA,"deep-water"
"Tosarhombus neocaledonicus",NA,NA,"deep-water"
"Tosarhombus nielseni",NA,NA,"subtropical"
"Tosarhombus octoculatus",NA,NA,"deep-water"
"Tosarhombus smithi",NA,NA,"tropical"
"Trichopsetta caribbaea",NA,NA,"tropical"
"Trichopsetta melasma",NA,NA,"tropical"
"Trichopsetta orbisulcus",NA,NA,"tropical"
"Trichopsetta ventralis",NA,NA,"tropical"
"Bovichtus angustifrons",NA,NA,"subtropical"
"Bovichtus argentinus",NA,NA,"temperate"
"Bovichtus chilensis",NA,NA,"temperate"
"Bovichtus diacanthus",NA,NA,"subtropical"
"Bovichtus oculus",NA,NA,"temperate"
"Bovichtus psychrolutes",NA,NA,"temperate"
"Bovichtus variegatus",NA,NA,"temperate"
"Bovichtus veneris",NA,NA,"subtropical"
"Cottoperca gobio",NA,NA,"subtropical"
"Cottoperca trigloides",NA,NA,"temperate"
"Halaphritis platycephala",NA,NA,"temperate"
"Brachaelurus colcloughi",NA,NA,"subtropical"
"Brachaelurus waddi",NA,NA,"tropical"
"Brachionichthys australis",NA,NA,"subtropical"
"Brachionichthys hirsutus",NA,NA,"temperate"
"Brachiopsilus dianthus",NA,NA,"temperate"
"Brachiopsilus dossenus",NA,NA,"temperate"
"Brachiopsilus ziebelli",NA,NA,"temperate"
"Pezichthys amplispinus",NA,NA,"temperate"
"Pezichthys compressus",NA,NA,"temperate"
"Pezichthys eltanini",NA,NA,"temperate"
"Pezichthys macropinnis",NA,NA,"temperate"
"Pezichthys nigrocilium",NA,NA,"temperate"
"Sympterichthys moultoni",NA,NA,"temperate"
"Sympterichthys politus",NA,NA,"temperate"
"Sympterichthys unipennis",NA,NA,"temperate"
"Thymichthys verrucosus",NA,NA,"temperate"
"Brama australis",NA,NA,"subtropical"
"Brama brama",12,24,"deep-water"
"Brama caribbea",NA,NA,"tropical"
"Brama dussumieri",NA,NA,"deep-water"
"Brama japonica",9,21,"subtropical"
"Brama myersi",NA,NA,"temperate"
"Brama orcini",NA,NA,"tropical"
"Brama pauciradiata",NA,NA,"tropical"
"Eumegistus brevorti",8,10,"deep-water"
"Eumegistus illustris",NA,NA,"deep-water"
"Pteraclis aesticola",NA,NA,"temperate"
"Pteraclis carolinus",NA,NA,"tropical"
"Pteraclis velifera",NA,NA,"temperate"
"Pterycombus brama",NA,NA,"subtropical"
"Pterycombus petersii",NA,NA,"temperate"
"Taractes asper",NA,NA,"temperate"
"Taractes rubescens",NA,NA,"tropical"
"Taractichthys longipinnis",10,NA,"subtropical"
"Taractichthys steindachneri",NA,NA,"tropical"
"Xenobrama microlepis",NA,NA,"polar"
"Bregmaceros arabicus",NA,NA,"temperate"
"Bregmaceros atlanticus",NA,NA,"subtropical"
"Bregmaceros bathymaster",NA,NA,"subtropical"
"Bregmaceros cantori",NA,NA,"deep-water"
"Bregmaceros cayorum",NA,NA,"tropical"
"Bregmaceros houdei",NA,NA,"tropical"
"Bregmaceros japonicus",NA,NA,"tropical"
"Bregmaceros lanceolatus",NA,NA,"deep-water"
"Bregmaceros mcclellandi",NA,NA,"subtropical"
"Bregmaceros nectabanus",NA,NA,"tropical"
"Bregmaceros neonectabanus",NA,NA,"temperate"
"Bregmaceros pescadorus",NA,NA,"temperate"
"Bregmaceros pseudolanceolatus",NA,NA,"subtropical"
"Bregmaceros rarisquamosus",NA,NA,"deep-water"
"Brycon alburnus",NA,NA,"tropical"
"Brycon amazonicus",NA,NA,"tropical"
"Brycon argenteus",NA,NA,"tropical"
"Brycon atrocaudatus",NA,NA,"tropical"
"Brycon behreae",21,29,"tropical"
"Brycon bicolor",NA,NA,"tropical"
"Brycon cephalus",22,26,"tropical"
"Brycon chagrensis",NA,NA,"tropical"
"Brycon coquenani",NA,NA,"tropical"
"Brycon costaricensis",21,34,"tropical"
"Brycon coxeyi",NA,NA,"tropical"
"Brycon dentex",NA,NA,"tropical"
"Brycon devillei",NA,NA,"tropical"
"Brycon falcatus",18,25,"tropical"
"Brycon ferox",NA,NA,"tropical"
"Brycon fowleri",NA,NA,"tropical"
"Brycon gouldingi",NA,NA,"tropical"
"Brycon guatemalensis",21,34,"tropical"
"Brycon henni",NA,NA,"tropical"
"Brycon hilarii",NA,NA,"tropical"
"Brycon insignis",NA,NA,"tropical"
"Brycon labiatus",NA,NA,"tropical"
"Brycon medemi",NA,NA,"tropical"
"Brycon meeki",NA,NA,"tropical"
"Brycon melanopterus",22,26,"tropical"
"Brycon moorei",NA,NA,"tropical"
"Brycon nattereri",NA,NA,"tropical"
"Brycon obscurus",NA,NA,"tropical"
"Brycon oligolepis",NA,NA,"tropical"
"Brycon opalinus",NA,NA,"tropical"
"Brycon orbignyanus",NA,NA,"tropical"
"Brycon orthotaenia",NA,NA,"tropical"
"Brycon pesu",NA,NA,"tropical"
"Brycon petrosus",NA,NA,"tropical"
"Brycon polylepis",NA,NA,"tropical"
"Brycon posadae",NA,NA,"tropical"
"Brycon rubricauda",20,28,"tropical"
"Brycon sinuensis",NA,NA,"tropical"
"Brycon stolzmanni",NA,NA,"tropical"
"Brycon striatulus",NA,NA,"tropical"
"Brycon unicolor",NA,NA,"tropical"
"Brycon vermelha",NA,NA,"tropical"
"Brycon whitei",NA,NA,"tropical"
"Chilobrycon deuterodon",NA,NA,"tropical"
"Henochilus wheatlandii",NA,NA,"tropical"
"Salminus affinis",NA,NA,"tropical"
"Salminus brasiliensis",NA,NA,"tropical"
"Salminus franciscanus",NA,NA,"tropical"
"Salminus hilarii",NA,NA,"tropical"
"Acarobythites larsonae",NA,NA,"tropical"
"Alionematichthys ceylonensis",NA,NA,"tropical"
"Alionematichthys crassiceps",NA,NA,"tropical"
"Alionematichthys minyomma",NA,NA,"tropical"
"Alionematichthys phuketensis",NA,NA,"tropical"
"Alionematichthys piger",NA,NA,"subtropical"
"Alionematichthys plicatosurculus",NA,NA,"tropical"
"Alionematichthys riukiuensis",NA,NA,"tropical"
"Alionematichthys samoaensis",NA,NA,"tropical"
"Alionematichthys shinoharai",NA,NA,"subtropical"
"Alionematichthys suluensis",NA,NA,"tropical"
"Alionematichthys winterbottomi",NA,NA,"tropical"
"Anacanthobythites platycephalus",NA,NA,"tropical"
"Anacanthobythites tasmaniensis",NA,NA,"temperate"
"Beaglichthys bleekeri",NA,NA,"tropical"
"Beaglichthys larsonae",NA,NA,"tropical"
"Beaglichthys macrophthalmus",NA,NA,"tropical"
"Bellottia apoda",NA,NA,"deep-water"
"Bellottia armiger",NA,NA,"deep-water"
"Bellottia cryptica",NA,NA,"subtropical"
"Bellottia galatheae",NA,NA,"deep-water"
"Bellottia robusta",NA,NA,"subtropical"
"Bidenichthys beeblebroxi",NA,NA,"temperate"
"Bidenichthys capensis",NA,NA,"subtropical"
"Bidenichthys consobrinus",NA,NA,"temperate"
"Brosmodorsalis persicinus",NA,NA,"temperate"
"Brosmolus longicaudus",NA,NA,"tropical"
"Brosmophyciops pautzkei",NA,NA,"tropical"
"Brosmophycis marginata",NA,NA,"subtropical"
"Brotulinella taiwanensis",NA,NA,"subtropical"
"Bythites fuscus",NA,NA,"deep-water"
"Bythites gerdae",NA,NA,"deep-water"
"Bythites islandicus",NA,NA,"deep-water"
"Calamopteryx goslinei",NA,NA,"tropical"
"Calamopteryx jeb",NA,NA,"tropical"
"Calamopteryx robinsorum",NA,NA,"tropical"
"Cataetyx alleni",NA,NA,"deep-water"
"Cataetyx bruuni",NA,NA,"deep-water"
"Cataetyx chthamalorhynchus",NA,NA,"deep-water"
"Cataetyx hawaiiensis",NA,NA,"deep-water"
"Cataetyx laticeps",NA,NA,"deep-water"
"Cataetyx lepidogenys",NA,NA,"deep-water"
"Cataetyx messieri",NA,NA,"deep-water"
"Cataetyx nielseni",NA,NA,"deep-water"
"Cataetyx niki",NA,NA,"deep-water"
"Cataetyx platyrhynchus",NA,NA,"deep-water"
"Cataetyx rubrirostris",NA,NA,"deep-water"
"Cataetyx simus",NA,NA,"deep-water"
"Dactylosurculus gomoni",NA,NA,"subtropical"
"Dermatopsis greenfieldi",NA,NA,"tropical"
"Dermatopsis hoesei",NA,NA,"subtropical"
"Dermatopsis joergennielseni",NA,NA,"subtropical"
"Dermatopsis macrodon",NA,NA,"temperate"
"Dermatopsis multiradiatus",NA,NA,"temperate"
"Dermatopsoides andersoni",NA,NA,"subtropical"
"Dermatopsoides kasougae",NA,NA,"subtropical"
"Dermatopsoides morrisonae",NA,NA,"tropical"
"Dermatopsoides talboti",NA,NA,"subtropical"
"Diancistrus alatus",NA,NA,"tropical"
"Diancistrus alleni",NA,NA,"tropical"
"Diancistrus altidorsalis",NA,NA,"tropical"
"Diancistrus atollorum",NA,NA,"tropical"
"Diancistrus beateae",NA,NA,"tropical"
