"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Leuciscus aspius",5007,NA,NA,4
"Leuciscus aspius",5007,4,5,NA
"Leuciscus aspius",5007,3,5,NA
"Leuciscus aspius",5007,5,NA,NA
"Leuciscus baicalensis",46124,3,4,NA
"Leuciscus baicalensis",46124,3,4,NA
"Leuciscus idus",2997,6,9,NA
"Leuciscus idus",2997,8,9,NA
"Leuciscus idus",2997,5,6,NA
"Leuciscus idus",2997,5,6,NA
"Leuciscus idus",2997,5,5,5
"Leuciscus idus",2997,NA,NA,5.5
"Leuciscus idus",2997,5,7,NA
"Leuciscus idus",2997,5,6,NA
"Leuciscus leuciscus",4879,3,4,NA
"Leuciscus leuciscus",4879,3,5,4
"Leuciscus leuciscus",4879,3,3,3
"Leuciscus leuciscus",4879,2,3,NA
"Leuciscus leuciscus",4879,NA,NA,3
"Leuciscus leuciscus",4879,NA,NA,4
"Leuciscus leuciscus",4879,NA,NA,4
"Leuciscus leuciscus",4879,3,NA,NA
"Leuciscus leuciscus",4879,3,NA,NA
"Leuciscus waleckii",39221,2,4,3
"Leuciscus waleckii",39221,3,5,NA
"Leucos aula",20525,1,3,NA
"Luciobarbus bocagei",18741,6,8,NA
"Luciobarbus bocagei",18741,3,NA,NA
"Luciobarbus brachycephalus",4825,5,7,NA
"Luciobarbus capito",18265,3,7,NA
"Luciobarbus graellsii",38847,4,NA,NA
"Luciobarbus sclateri",18755,4,5,NA
"Luciobarbus sclateri",18755,2,NA,NA
"Luciobarbus sclateri",18755,6,7,NA
"Luciobarbus sclateri",18755,2,4,NA
"Luciobrama macrocephalus",45450,5,NA,NA
"Luciobrama macrocephalus",45450,4,NA,NA
"Luxilus chrysocephalus",3045,NA,NA,2
"Luxilus cornutus",3047,NA,NA,1
"Lythrurus umbratilis",3106,NA,NA,1
"Macrhybopsis storeriana",2988,NA,NA,2
"Margariscus margarita",10465,NA,NA,4
"Megalobrama mantschuricus",52345,6,NA,NA
"Megalobrama mantschuricus",52345,3,NA,NA
"Megalobrama terminalis",5017,NA,NA,6
"Microphysogobio tungtingensis",40173,NA,NA,2
"Mylocheilus caurinus",3000,NA,NA,4
"Mylocheilus caurinus",3000,NA,NA,3
"Mylopharyngodon piceus",4789,NA,NA,3
"Mylopharyngodon piceus",4789,4,5,NA
"Mylopharyngodon piceus",4789,NA,NA,3
"Mylopharyngodon piceus",4789,8,9,NA
"Mylopharyngodon piceus",4789,7,9,NA
"Mylopharyngodon piceus",4789,6,11,NA
"Mylopharyngodon piceus",4789,6,11,NA
"Nematabramis everetti",20592,NA,NA,1
"Nematabramis everetti",20592,NA,NA,1.5
