sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Cheilinus trilobatus,1,25.5,2.813080361,2.813080361,1
Cheilinus undulatus,0.1,138,4.279758173,3.279758173,0.1
Cheilopogon atrisignis,0.88,29.9,2.951342377,2.895825049,0.88
Cheilopogon cyanopterus,0.86,29.9,2.951342377,2.885840828,0.86
Cheilopogon nigricans,1.725,21.6,2.668907502,2.905315754,1.723487952
Cheilotrema saturnum,0.183,47,3.344195716,2.606646806,0.183
Cheimerius nufar,0.1104,81.5688,3.823048146,2.805421924,0.09602267
Chelidonichthys capensis,0.1356,71.52,3.708855012,2.815318242,0.127780102
Chelidonichthys cuculus,0.411714286,33.08541643,3.03927321,2.605593409,0.36840049
Chelidonichthys kumu,0.466222222,45.55795,3.317128347,2.964431318,0.44391822
Chelidonichthys lucerna,0.4116,50.746,3.41080363,2.875983971,0.291863872
Chelidonichthys queketti,0.485,31.25,2.989700043,2.663948097,0.472332744
Chelon labrosus,0.2295,49.76848583,3.393908856,2.692649799,0.198948626
Chelon macrolepis,0.097,72.3,3.718276595,2.705048329,0.097
Chelon parsia,0.32,30.7,2.974276751,2.479426729,0.32
Chelon planiceps,0.173,51.5,3.423614458,2.661660561,0.173
Chelon subviridis,0.3915,47.3,3.349722281,2.818484987,0.294281327
Chilara taylori,0.375,36,3.112605002,2.686636269,0.375
Chimaera monstrosa,0.102333333,65.26666667,3.629382865,2.608908498,0.095395004
Chirocentrus nudus,0.242,87.2,3.88103297,3.264848336,0.242
Chirostoma attenuatum,0.204,8.88,1.896825932,1.206456099,0.204
Chirostoma estor,0.2445,38.85,3.178782046,2.552988901,0.236704686
Chirostoma grandocule,0.175,9.4,1.946255707,1.189293756,0.175
Chirostoma humboldtianum,0.133,18.6,2.539025888,1.65260489,0.129890982
Chirostoma patzcuaro,0.32,10.9,2.074852996,1.580002974,0.32
Chlorophthalmus agassizi,0.24,18.9,2.552923608,1.93313485,0.24
Chloroscombrus chrysurus,0.39,39.35,3.189889473,2.725821173,0.343503922
Chlorurus microrhinos,0.263,49.592415,3.390830515,2.798462034,0.255641595
Chlorurus sordidus,0.97525,22.96347583,2.72207525,2.620039401,0.790613364
Chlorurus spilurus,1.083,19.3,2.571114618,2.605743075,1.083
Chologaster cornuta,1.028,6,1.556302501,1.568295615,1.028
Chondrostoma holmwoodii,0.217,27.05,2.864334539,2.200294204,0.216750279
Chondrostoma nasus,0.23,52,3.432006687,2.793734523,0.23
Chriodorus atherinoides,0.76,27.3,2.872325294,2.753138886,0.76
Chromis chromis,0.24,14.4,2.316724984,1.696537962,0.239780012
Chromis chrysura,0.8,10,2,1.903089987,0.8
Chromis ternatensis,4,8,1.806179974,2.408239965,4
Chromis viridis,2.3,11.5,2.121395681,2.483123517,2.3
Chrosomus eos,1.13,6,1.556302501,1.609380944,1.13
Chrysichthys auratus,0.38,41.724,3.240771873,2.731776706,0.309745376
Chrysichthys nigrodigitatus,0.433666667,66.8326,3.649976714,3.07065151,0.263435801
Chrysichthys walkeri,0.72,24.5,2.778332169,2.635664665,0.72
Chrysiptera biocellata,0.74,13.3,2.247703282,2.116935002,0.74
Chrysiptera glauca,0.8,11.5,2.121395681,2.024485668,0.8
Chrysoblephus cristiceps,0.358,71.794794,3.712185907,2.854174203,0.138671846
Chrysoblephus laticeps,0.1335,49.475,3.388771606,2.480770254,0.123594359
Chrysoblephus puniceus,0.201,44,3.286905353,2.59010141,0.201
Cichla intermedia,0.4,38.9,3.179899203,2.781959194,0.4
Cichla orinocensis,0.079,65,3.625826713,2.523453805,0.079
Cichla temensis,0.162,98.18646,3.984103205,3.193618219,0.162
Cichlasoma urophthalmum,0.181,31.357665,2.992687432,2.244477714,0.17856251
Cirrhinus cirrhosus,0.165666667,107.7,4.064431407,3.197169555,0.135749472
Cirrhinus molitorella,0.117,60.1,3.557748944,2.625934806,0.117
Citharichthys sordidus,0.3,30,2.954242509,2.431363764,0.3
Citharichthys spilopterus,0.42,21.8,2.676912987,2.300162278,0.42
Citharinus citharus,0.4355,60.41666667,3.562313521,3.08724623,0.334913542
Citharus linguatula,0.2606,27.42,2.876134901,2.283765357,0.25564097
Clarias agboyiensis,0.8,39.1,3.184353515,3.087443502,0.8
Clarias batrachus,0.71,55.3,3.485450263,3.336708611,0.71
Clarias gariepinus,0.1739375,133.48125,4.25084053,3.290887792,0.109659753
Clarias ngamensis,0.2772,72.28,3.718036288,3.062568151,0.221071045
Cleisthenes herzensteini,0.143333333,46.56666667,3.336150303,2.411621829,0.118979332
Clidoderma asperrimum,0.32,50.5,3.406582756,2.86736488,0.288923005
Clinocottus analis,0.355,11.65,2.132651851,1.641892446,0.323028318
Clinocottus globiceps,0.24,12,2.158362492,1.538573734,0.24
Clinostomus elongatus,0.39,9.12,1.919989677,1.511054284,0.39
Clupea bentincki,0.59,18.425,2.530814993,2.292499375,0.577676076
Clupea harengus,0.355237705,30.7499518,2.975688879,2.487407154,0.324876483
Clupea pallasii pallasii,0.417125,30.21501625,2.960445664,2.534091073,0.374666971
Clupea pallasii suworowi,0.36,23.7,2.749496692,2.305799193,0.36
Clupeonella cultriventris,0.538666667,12.66666667,2.205324684,1.796583428,0.390174375
Clupeonella grimmi,0.62,11.6,2.128915978,1.921307668,0.62
Cnidoglanis macrocephalus,0.2,91.7,3.924738671,3.225768667,0.2
Cobitis calderoni,0.205,7.65,1.76732287,1.060176691,0.196269954
Cobitis narentana,0.52,8.315,1.839724507,1.534916437,0.495669196
Cobitis paludica,0.324365,8.8462,1.893513508,1.34833038,0.284981634
Cobitis simplicispina,0.448,93.7,3.943479182,3.592994935,0.446185809
Cobitis taenia,0.34625,10.21,2.018051484,1.512699069,0.312354369
Coelorinchus caelorhincus,0.124125,14.213125,2.305379151,1.359631773,0.113305925
Coelorinchus labiatus,0.372,8.415,1.850108241,1.420649801,0.371998818
Coilia dussumieri,1.247142857,24.91428571,2.792896881,2.882778873,1.229934523
Coilia mystus,0.53,21.5,2.66487692,2.389152789,0.53
Coilia nasus,0.354,34.9,3.085650854,2.634654116,0.354
Coilia ramcarati,0.29,26.5,2.846491748,2.308889746,0.29
Coilia reynaldi,0.7,18.5,2.534343457,2.379441497,0.7
Colistium guntheri,0.435,39.7,3.197581014,2.830700945,0.429655061
Colistium nudipinnis,0.365,53.15,3.451006538,3.009872973,0.36213161
Cololabis saira,0.48375,37.275,3.142835304,2.811917009,0.466747182
Colossoma macropomum,0.227333333,115.3333333,4.123909688,3.479357363,0.226697993
Comephorus baikalensis,0.25,21,2.644438589,2.042378598,0.25
Comephorus dybowskii,0.23,16,2.408239965,1.769967801,0.23
Conger conger,0.115,152.55,4.366824424,3.003668043,0.043335481
Contusus richei,0.311333333,17.76666667,2.499211909,1.963497714,0.291263327
Copadichromis likomae,0.93,14,2.292256071,2.26073902,0.93
Copadichromis mloto,0.52,15.6,2.386249197,2.10225254,0.52
Copadichromis pleurostigmoides,0.764,14.4,2.316724984,2.199818343,0.764
Copadichromis quadrimaculatus,0.65,19,2.557507202,2.370420559,0.65
Copadichromis virginalis,0.778,12.1,2.165570741,2.056550338,0.778
Coregonus albula,0.463714286,24.07857143,2.763261434,2.360355015,0.395451823
Coregonus alpenae,0.185,48,3.362482475,2.609559772,0.176635217
Coregonus artedi,0.3174,32.64,3.0275003,2.391143144,0.231016417
Coregonus autumnalis,0.22,48.4,3.369690723,2.712113404,0.22
Coregonus chadary,0.16,58,3.526855987,2.73097597,0.16
Coregonus clupeaformis,0.247705882,58.256,3.530681323,2.786724088,0.180319529
Coregonus hoyi,0.177,35.03333333,3.088962923,2.320700169,0.17050505
Coregonus kiyi,0.473333333,27.73333333,2.886004143,2.558369041,0.470289084
Coregonus lavaretus,0.376137083,41.87875,3.243987421,2.671368081,0.267535033
Coregonus macrophthalmus,0.398555556,40.12222222,3.206769958,2.769858062,0.365668967
Coregonus maraena,0.15,54.6,3.474385285,2.650476544,0.15
Coregonus migratorius,0.38,45.1,3.308353084,2.88813668,0.38
Coregonus muksun,0.125,68.85,3.675807889,2.76946723,0.124067874
Coregonus nasus,0.1680625,63.4574475,3.604965198,2.79256669,0.154028644
Coregonus nigripinnis,0.14,43.1,3.26895454,2.415082576,0.14
Coregonus oxyrinchus,0.378,35.8,3.107766053,2.685257853,0.378
Coregonus peled,0.239,48.06666667,3.363688011,2.638061246,0.18809326
Coregonus pidschian,0.155,51.35,3.421080896,2.599415784,0.150776927
Coregonus pollan,0.65,28.9,2.921795686,2.734709042,0.65
Coregonus sardinella,0.283333333,36.66666667,3.128542861,2.55454427,0.266686732
Coregonus tugun tugun,0.3,22.9,2.719670965,2.196792219,0.3
Coregonus ussuriensis,0.28,55.3,3.485450263,2.927969543,0.277025202
Coregonus wartmanni,0.27,55,3.480725379,2.851215268,0.234687462
Coregonus widegreni,0.3116,40.07,3.205638685,2.578837563,0.236155942
Coreobagrus ichikawai,0.51,9.35,1.941623222,1.649193398,0.51
Coris julis,0.145666667,25.86666667,2.825480933,1.961489104,0.136775456
Coryphaena equiselis,1.3365,67.81765,3.662685473,3.678853604,1.037930157
Coryphaena hippurus,1.670291667,164.9333338,4.434616875,4.533976157,1.25706948
Coryphaenoides acrolepis,0.191,106.35,4.053474988,3.012134175,0.09091995
Coryphaenoides cinereus,0.28,56.2,3.499472631,2.939965448,0.275735585
Coryphaenoides guentheri,0.211,23.7,2.749496692,2.073779147,0.211
Coryphaenoides mediterraneus,0.201,23.7,2.749496692,2.052692749,0.201
Coryphaenoides rupestris,0.091625,89.0875,3.899633544,2.830642867,0.085311843
Cottocomephorus grewingkii,0.26,15.3,2.369382862,1.78435621,0.26
Cottus asperrimus,0.18,11.1,2.090645958,1.345918463,0.18
Cottus beldingii,0.316,9,1.908485019,1.408172101,0.316
Cottus cognatus,0.136,15.3,2.369382862,1.50292177,0.136
Cottus gobio,0.625,6.875,1.674545405,1.448333671,0.594002491
Cottus klamathensis,0.28,9.75,1.978009231,1.425167263,0.28
Cottus pitensis,0.19,12.7,2.207607442,1.486361043,0.19
Couesius plumbeus,0.36,13.4,2.254209597,1.810512097,0.36
Cromileptes altivelis,0.35,57.75,3.523103977,3.062199153,0.346015199
Crystallogobius linearis,0.97,5.4,1.46478752,1.451559254,0.97
Ctenochaetus striatus,0.8698,16.9,2.455773409,2.36392774,0.809383469
Ctenochaetus strigosus,0.9,23.3,2.734711842,2.688954351,0.9
Ctenolabrus rupestris,0.338666667,17.16666667,2.469371949,1.988515075,0.330478436
Ctenopharyngodon idella,0.13262,126.1678,4.201897061,3.259711704,0.114239066
Ctenopharynx intermedius,0.571,22.9,2.719670965,2.476307073,0.571
Cubiceps caeruleus,0.66,30.7,2.974276751,2.793820686,0.66
Cubiceps pauciradiatus,1.29,20,2.602059991,2.712649702,1.29
Culter alburnus,0.23,40,3.204119983,2.565847819,0.23
Cycleptus elongatus,0.41,64.2,3.615070056,3.227853913,0.41
Cycleptus meridionalis,0.121,65.55,3.633145392,2.709909338,0.119333931
Cyclocheilichthys apogon,0.3435,22.84876,2.717725272,2.207860321,0.309125655
Cyclopsetta chittendeni,0.78,33,3.03702788,2.929122482,0.78
Cyclopterus lumpus,0.1875,53.85,3.462371415,2.705034018,0.174848779
Cyclothone acclinidens,0.85,8,1.806179974,1.7355989,0.85
Cyema atrum,1,15,2.352182518,2.352182518,1
Cymatoceps nasutus,0.05,116.2506,4.130790406,2.828503032,0.049855448
Cynoglossus abbreviatus,0.155,43,3.266936911,2.456513729,0.154730817
Cynoglossus arel,0.443,47.525,3.353844251,2.884518937,0.339370967
Cynoglossus canariensis,0.394333333,50.81666667,3.412012348,2.994044492,0.381972541
Cynoglossus joyneri,0.18,28.25,2.902036904,2.156244813,0.179559302
Cynoglossus lida,0.228,33.75,3.056547554,2.414354116,0.227932662
Cynoglossus puncticeps,0.65,24.5,2.778332169,2.591245525,0.65
Cynoglossus robustus,0.684833333,38.81666667,3.178036476,2.942593954,0.581510389
Cynoglossus semifasciatus,1.86,17.4,2.481098497,2.750611441,1.86
Cynoglossus senegalensis,0.097,82.1,3.828686314,2.815458049,0.097
Cynopoecilus melanotaenia,6.9685,2.98,0.948432528,1.778563684,6.762871822
Cynoscion acoupa,0.27,106,4.050611731,3.481975495,0.27
Cynoscion albus,0.172,122,4.172719661,3.408248108,0.172
Cynoscion analis,0.175,54.65,3.475180333,2.688136626,0.163288761
Cynoscion arenarius,0.325,33.705,3.055388663,2.564773075,0.323135306
Cynoscion guatucupa,0.2325,53,3.448551739,2.810177493,0.229945944
Cynoscion jamaicensis,0.3845,36.73333333,3.13012068,2.708321102,0.378617272
Cynoscion leiarchus,0.35,45.4,3.314111706,2.85817975,0.35
Cynoscion microlepidotus,0.15,105.43,4.045928413,3.222019672,0.15
Cynoscion nebulosus,0.217538462,68.91538462,3.676632369,2.986094304,0.203920992
Cynoscion nothus,0.22,44.2,3.290844539,2.63326722,0.22
Cynoscion regalis,0.23625,68.425,3.670429612,2.922547668,0.178697327
Cynoscion stolzmanni,0.318,96.7,3.970852948,3.473280068,0.318
Cynoscion xanthulus,1.308,44.8,3.302556028,3.419163772,1.308
Cyphocottus megalops,0.21,17,2.460897843,1.783117137,0.21
Cyphomyrus discorhynchus,0.158,34.9,3.085650854,2.284307941,0.158
Cyprinus carpio,0.295942308,71.4975,3.708581713,3.081380583,0.235938531
Cypselurus opisthopus,2.05,28,2.894316063,3.206069924,2.05
Dactyloptena orientalis,1.5,23,2.723455672,2.899546931,1.5
Danio rerio,2.123333333,4.210533333,1.24867422,1.489076319,1.739410548
Dascyllus albisella,0.23,13,2.227886705,1.589614541,0.23
Dascyllus aruanus,2.9,11,2.08278537,2.545183368,2.9
Dascyllus reticulatus,0.52,10,2,1.716003344,0.52
Dasyatis akajei,0.1,127.5,4.21102037,3.197280558,0.096885813
Dasyatis pastinaca,0.056333333,181.4333333,4.517434159,3.207146159,0.048945413
Dasyatis sabina,0.284,126.5,4.204181051,3.647418112,0.277483434
Dasycottus setiger,0.11,56.7,3.507166118,2.548558803,0.11
Deania calcea,0.106,106.25,4.052657877,3.054770819,0.100487708
Decapterus kurroides,0.715,30.833335,2.978041003,2.813426747,0.684519373
Decapterus macarellus,1.2,30.60828667,2.97167804,2.976972546,1.012265664
Decapterus macrosoma,0.972941176,27.20411765,2.869269289,2.829241054,0.911951548
Decapterus maruadsi,0.988571429,26.80294143,2.856364915,2.836177459,0.954580469
Decapterus punctatus,2.349,25.29773,2.806163106,2.843496471,1.089766278
Decapterus russelli,0.802212121,27.72162424,2.885637345,2.749431059,0.730791881
Dendrophysa russelii,0.981,18,2.51054501,2.501661836,0.979753505
Dentex angolensis,0.17475,49.914975,3.396461716,2.612781698,0.164558372
Dentex canariensis,0.1615,83.28351,3.841118041,3.036995551,0.156991996
Dentex congoensis,0.255,32.15,3.014361955,2.387015559,0.235859625
Dentex dentex,0.08775,90.625,3.914496039,2.850883691,0.086374919
Dentex gibbosus,0.1518,100.055098,4.000478443,3.176665244,0.150033003
Dentex macrophthalmus,0.197333333,45.06745667,3.3077261,2.576743516,0.185787896
Dentex maroccanus,0.186,36.638996,3.127887129,2.386367357,0.181334412
Dentex tumifrons,0.249666667,46.83333333,3.341110139,2.620153495,0.190126808
Diagramma pictum,0.259142857,66.1,3.640402919,3.03889068,0.25031551
Diaphus dumerilii,2.8175,7.2,1.714664993,2.135004276,2.632323637
Diapterus peruvianus,4.04,13.32432,2.249290109,2.855671474,4.04
Diapterus rhombeus,1.431,24.03724,2.761769199,2.841191619,1.200666573
Dicentrarchus labrax,0.200892857,75.60571429,3.757109242,2.971671427,0.163893672
Dicentrarchus punctatus,0.111,71.5,3.708612084,2.621231483,0.081774783
Dichistius capensis,0.16,60.35,3.561354549,2.744952183,0.152615145
Dicologlossa cuneata,0.31225,26.83333333,2.857349251,2.303939575,0.279634224
Diplectrum formosum,0.8935,29.35,2.935216211,2.750828041,0.654051325
Diplodus annularis,0.2788,21.406495,2.661091128,2.041334825,0.240017937
Diplodus bellottii,0.27,26,2.829946696,2.26131046,0.27
Diplodus capensis,0.247,36.17974,3.116930883,2.509627836,0.247
Diplodus cervinus,0.146,39,3.182129214,2.34648207,0.146
Diplodus hottentotus,0.146,46.34259,3.331960604,2.49631346,0.146
Diplodus puntazzo,0.472,23.2,2.73097597,2.404917968,0.472
Diplodus sargus cadenati,0.138,47.3,3.349722281,2.487361591,0.137290128
Diplodus sargus sargus,0.155285714,45.87142857,3.323084531,2.464948528,0.138632162
Diplodus vulgaris,0.261,35.29582625,3.095446706,2.438466754,0.220302816
Dipturus batis,0.057,254,4.809667433,3.565542289,0.057
Dipturus innominatus,0.095,151,4.357953895,3.3356775,0.095
Dipturus laevis,0.14,166,4.440216176,3.586344212,0.14
Dipturus oxyrinchus,0.04,256,4.816479931,3.418539922,0.04
Dipturus pullopunctatus,0.065,105.05,4.042792113,2.811936015,0.058768405
Dipturus trachyderma,0.083,255.75,4.815631285,3.73363597,0.082795109
Discherodontus ashmeadi,1.2,14.7,2.334634669,2.413815916,1.2
Dissostichus eleginoides,0.0924375,139.825,4.291169656,3.192469841,0.079670985
Dissostichus mawsoni,0.079666667,178.1000033,4.501327855,3.391017927,0.077569336
Distichodus rostratus,0.506,81.3265,3.820464164,3.17795145,0.227765156
Doederleinia berycoides,0.351,30.8,2.977101433,2.522408549,0.351
Dolichopteryx longipes,0.5,15,2.352182518,2.051152522,0.5
Dormitator latifrons,0.57,41,3.225567713,2.981442569,0.57
Dorosoma cepedianum,0.3295,43.65,3.279968496,2.74701506,0.293120751
Drepane africana,0.208,45.06666667,3.307710874,2.600821593,0.196386088
Drepane punctata,0.363,43.96666667,3.286247082,2.769427053,0.304214543
Dussumieria acuta,1.016666667,25.06023667,2.797970336,2.797959647,0.999975388
Dussumieria elopsoides,0.55,26.47059,2.845527243,2.585889932,0.55
Elagatis bipinnulata,0.354,108.2077933,4.068517081,3.562463001,0.311850123
Electrona antarctica,0.21,11.315,2.107309117,1.412897016,0.202110045
Electrona carlsbergi,0.55,9.67,1.970852948,1.711215638,0.55
Electrona risso,3.03,6.1,1.57065967,2.052102299,3.03
Eleginops maclovinus,0.07,196,4.584512143,3.429610183,0.07
Eleginus gracilis,0.199411765,48.11764706,3.364608765,2.634343713,0.186095104
Eleotris oxycephala,0.279,26,2.829946696,2.275550899,0.279
Elopichthys bambusa,0.08,186.7,4.542288636,3.445378623,0.08
Elops saurus,0.26,55.11364,3.48251819,2.892243998,0.256877348
Emmelichthys nitidus nitidus,0.195,29.7,2.945512899,2.217861879,0.187218594
Enchelyopus cimbrius,0.231666667,36.66666667,3.128542861,2.48346713,0.226424944
Encrasicholina devisi,2.372555556,8.787053333,1.887686525,2.229106356,2.19492574
Encrasicholina heteroloba,2.123466667,10.40333333,2.034345028,2.318192812,1.922417824
Encrasicholina punctifer,1.482285714,10.85714286,2.071431105,2.224961488,1.424066871
Encrasicholina purpurea,1.737,11.4,2.113809703,2.353609521,1.737
Engraulicypris sardella,2.62,13.8,2.279758173,2.698059464,2.62
Engraulis anchoita,0.321857143,20.25714286,2.613156382,2.074165472,0.289074039
Engraulis australis,0.39,12.1,2.165570741,1.756635348,0.39
Engraulis capensis,0.88,12.7,2.207607442,2.152090114,0.88
Engraulis encrasicolus,0.600983051,18.28877271,2.524369125,2.192837174,0.466088137
Engraulis japonicus,1.391238095,17.65861762,2.493913405,2.52606807,1.076848644
Engraulis mordax,0.418514286,19.53561571,2.581654207,2.132457192,0.355470025
Engraulis ringens,0.979095238,19.87222222,2.59649287,2.572401119,0.946037276
Eopsetta grigorjewi,0.21,42.40244,3.254781697,2.553394374,0.198889876
Eopsetta jordani,0.155666667,52.16666667,3.434786174,2.622589867,0.154100374
Epigonus angustifrons,0.15,41.6,3.238186661,2.41427792,0.15
Epigonus elegans,0.485,16,2.408239965,2.092576375,0.48343313
Epigonus telescopus,0.036,69.35,3.682092931,2.237507186,0.035926446
Epinephelides armatus,0.155,55.95,3.495600182,2.683885539,0.154271377
Epinephelus adscensionis,0.145666667,49.93333333,3.396781117,2.55285711,0.143243853
Epinephelus aeneus,0.1666,144.259998,4.318291844,3.40141904,0.121095275
Epinephelus areolatus,0.309,36.7,3.129332129,2.616424091,0.306967193
Epinephelus caninus,0.039,173.3,4.477597125,3.068661732,0.039
Epinephelus chlorostigma,0.1952,64.41142,3.617925747,2.796799012,0.150963955
Epinephelus coioides,0.1535,95.45,3.959551865,3.143687894,0.152804459
Epinephelus costae,0.137,79.35,3.799093862,2.929196256,0.134928097
Epinephelus cyanopodus,0.28,66.2,3.641715979,3.08887401,0.28
Epinephelus diacanthus,0.5075,53,3.448551739,3.114402634,0.463287833
Epinephelus drummondhayi,0.13,97,3.973543469,3.087486821,0.13
Epinephelus fasciatus,0.1215,81.7,3.824444113,2.714456744,0.077626969
Epinephelus fuscoguttatus,0.18,94.8,3.953616675,3.205297223,0.178517398
Epinephelus guttatus,0.1619,53.54,3.457356734,2.626391403,0.147582434
Epinephelus hexagonatus,0.91,29.5,2.939644032,2.898685424,0.91
Epinephelus itajara,0.126,201,4.606392115,3.70676266,0.126
Epinephelus labriformis,0.259666667,35.5,3.100456706,2.506173862,0.254517211
Epinephelus latifasciatus,0.328,82.1,3.828686314,3.344560158,0.328
Epinephelus maculatus,0.28,47.2,3.347883997,2.795042029,0.28
Epinephelus malabaricus,0.8,125,4.193820026,4.096910013,0.8
Epinephelus marginatus,0.0853,134.879998,4.259895102,3.091885915,0.067918927
Epinephelus merra,0.44,30.16666667,2.959054649,2.542011045,0.382786309
Epinephelus morio,0.13825,88.58125,3.894683609,3.02047564,0.133595562
Epinephelus morrhua,0.22,56.2,3.499472631,2.841895312,0.22
Epinephelus multinotatus,0.273,72.6,3.721873241,3.158035888,0.273
Epinephelus ongus,0.33,52.6,3.441971488,2.960485428,0.33
Epinephelus polylepis,0.195,64.8,3.623150012,2.913184623,0.195
Epinephelus rivulatus,0.49,32.9,3.034391796,2.724587876,0.49
Epinephelus sexfasciatus,0.51,36.7,3.129332129,2.836902305,0.51
Epinephelus striatus,0.1295,95.96666667,3.96424082,3.027446706,0.115666045
Epinephelus tauvina,0.1326,109.02,4.075012355,3.173938543,0.125581651
Eptatretus polytrema,0.123,112,4.098436045,3.188341157,0.123
Equulites elongatus,1.13,13.9216225,2.287379706,2.324683929,1.089693155
Equulites klunzingeri,0.285,10.55,2.046504919,1.49538926,0.281115208
Equulites leuciscus,1.308333333,14.42751833,2.31838327,2.41073582,1.236951155
Equulites lineolatus,1.707142857,11.02857143,2.085038521,2.252664201,1.47104406
Ericymba buccata,0.895,8.32901,1.841186767,1.793009802,0.895
Erilepis zonifer,0.0744,186.3,4.54042571,3.411998645,0.0744
Erythrocles schlegelii,0.3,30.8,2.977101433,2.454222688,0.3
Esox americanus americanus,0.24,35.3,3.095549411,2.475760652,0.24
Esox americanus vermiculatus,0.295,27.5,2.878665388,2.347597272,0.294395986
Esox lucius,0.198740351,98.09098596,3.9832582,3.156444739,0.149000093
Esox masquinongy,0.184884615,122.8692312,4.178886281,3.409299952,0.169986202
Esox niger,0.204,73.766,3.735712469,3.023142189,0.193833894
Esox reichertii,0.159,112.2333333,4.100243723,3.239408911,0.13777334
Etelis carbunculus,0.217636364,92.68495909,3.934018525,3.169035852,0.171797693
Etelis coruscans,0.21025,94.58325,3.951628466,3.218963563,0.185069605
Etelis oculatus,0.45,102.5,4.021447731,3.645301313,0.420584809
Etelis radiosus,0.21,70,3.69019608,3.012415375,0.21
Etheostoma caeruleum,0.734,5.845,1.533569031,1.395702821,0.72800404
Etheostoma flabellare,0.815,8.36,1.844412555,1.755570164,0.815
Etheostoma juliae,0.6925,6.81,1.666294224,1.45134777,0.609612055
Etheostoma nigrum,0.95,5.2,1.432006687,1.409730293,0.95
Etheostoma sagitta,0.731,8.535,1.862407051,1.724999959,0.728774063
Ethmalosa fimbriata,0.766,36.53366667,3.125386524,2.900820341,0.596257449
Etmopterus baxteri,0.0515,74.1,3.739636416,2.428787272,0.048882213
Etropus crossotus,1.1025,20.35,2.617128827,2.566540919,0.89004526
Etrumeus acuminatus,0.86,27.83133,2.889067922,2.823566373,0.86
Etrumeus golanii,0.405,37.5,3.148062535,2.609271478,0.289207095
Etrumeus micropus,1.379,21,2.644438589,2.784002856,1.379
Etrumeus sadina,1.149166667,26.51666667,2.847037859,2.790351042,0.877633481
Etrumeus whiteheadi,0.707,30,2.954242509,2.803661923,0.707
Eubleekeria splendens,0.96016,15.108706,2.358454541,2.308273589,0.890879669
Eucinostomus gula,0.422,20.75,2.634036202,2.250564558,0.413550314
Eudontomyzon mariae,0.4265,24.1,2.764034085,2.385419628,0.418201458
Eugerres brasilianus,0.366666667,36.09756,3.114955694,2.658797183,0.349817466
Eugerres plumieri,0.27,39.53699333,3.194007279,2.591444329,0.249710641
Euthynnus affinis,0.476,86,3.868996902,3.544679703,0.473895735
Euthynnus alletteratus,0.178285714,121.4430857,4.168745587,3.387049502,0.165311823
Eutrigla gurnardus,0.450666667,34.57076833,3.077418064,2.626005208,0.353660978
Evermannella melanoderma,0.61,14.4,2.316724984,2.102054819,0.61
Evynnis ehrenbergii,0.334,57.55,3.520090656,2.96854138,0.280834672
Facciolella gilbertii,0.4,60,3.556302501,3.158362492,0.4
Favonigobius lateralis,2.69,4.9,1.38039216,1.81014444,2.69
Favonigobius lentiginosus,1.27,5.5,1.480725379,1.5845291,1.27
Filimanus heptadactyla,0.83,38.5,3.170921459,3.089999551,0.83
Forbesichthys agassizii,0.673,6.8,1.665017825,1.49303289,0.673
Forsterygion lapillum,1.2,4.9,1.38039216,1.459573406,1.2
Forsterygion varium,1.85,8.7,1.879038505,2.146210234,1.85
Fundulus parvipinnis,0.93,11.4,2.113809703,2.082292651,0.93
Furgaleus macki,0.288,128,4.214419939,3.673812427,0.288
Gadiculus argenteus,0.345,17.95,2.508128906,1.992843043,0.305291096
Gadiculus thori,0.77,15.75,2.394561116,2.278760003,0.765947295
Gadus macrocephalus,0.257,97.1375,3.974773844,3.302116113,0.212491846
Gadus morhua,0.186182692,110.1365385,4.083862845,3.27691532,0.155974095
Gaidropsarus mediterraneus,0.6,27,2.862727528,2.640878779,0.6
Galaxias occidentalis,0.76,11.65,2.132651851,2.011660272,0.75684757
Galaxiella munda,3.9595,4.645,1.333971437,1.929760003,3.942653098
Galaxiella nigrostriata,2.845,3.8,1.159567193,1.606920716,2.801260662
Galaxiella pusilla,4.68,2.8,0.894316063,1.564561916,4.68
Galeocerdo cuvier,0.2486,379.589502,5.158628386,4.459079595,0.199733637
Galeoides decadactylus,0.35475,55.5,3.488585966,2.9783096,0.308832953
Galeorhinus galeus,0.1452,173.079998,4.476493763,3.594875657,0.131335428
Gambusia affinis,1,4.9,1.38039216,1.339829807,0.910830672
Garra mullya,0.517,10.4,2.034066679,1.747557222,0.517
Gasterosteus aculeatus,2.12375,6.91,1.678956095,1.945476313,1.847226788
Gazza minuta,0.984,19.159594,2.564772604,2.519764379,0.901554063
Genidens barbus,0.129,63.8,3.609641357,2.720231068,0.129
Genypterus blacodes,0.113222222,136.5666667,4.270689418,3.296731438,0.106179828
Genypterus capensis,0.14306,129.28,4.223062687,3.355896124,0.13577926
Gerres cinereus,0.530333333,36.47257333,3.123932812,2.831491388,0.509986377
Gerres filamentosus,1.72,27.23333333,2.870201604,3.041103878,1.482184525
Gerres longirostris,0.705,30.125,2.957854111,2.630665653,0.470772994
Gerres oyena,1.1,18.2,2.520142776,2.561535461,1.1
Gerres setifer,1.225,17.225,2.472318461,2.560232385,1.224373507
Gigantura indica,0.86,28.35766,2.905340782,2.839839234,0.86
Gila atraria,0.1675,37.95,3.15842356,2.320895314,0.145368984
Gila cypha,0.176666667,38.13333333,3.162609539,2.403427165,0.174107558
