sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Albatrossia pectoralis,0.134,114.3624975,4.116567262,3.152162371,0.108541323
Albula vulpes,0.3056,78.053344,3.784783028,3.162529006,0.238641504
Alburnoides bipunctatus,0.3528,13.66,2.270901399,1.790702004,0.330979126
Alburnus alburnus,0.386333333,18.43333333,2.531207753,2.064714918,0.341591586
Alburnus belvica,0.213333333,28.58,2.912124449,2.057351644,0.139709904
Alburnus chalcoides,0.158111111,29.85555556,2.950050314,2.103864178,0.142499672
Aldrichetta forsteri,0.51,40,3.204119983,2.911690159,0.51
Alectis indica,0.17,120.68965,4.163340056,3.393788977,0.17
Alepes djedaba,0.905,26.3,2.839911497,2.746503136,0.806476356
Alepes kleinii,0.83,17.1,2.465992221,2.385070313,0.83
Alepes melanoptera,0.85,28.73563,2.916841446,2.846260372,0.85
Alepocephalus bairdii,0.077,92.85009,3.935564658,2.822055383,0.077
Alepocephalus rostratus,0.347333333,36.63333333,3.127752875,2.361464577,0.17128199
Alepocephalus tenebrosus,0.3,64,3.612359948,3.089481203,0.3
Alestes baremoze,0.625076923,38.93384615,3.180654617,2.906288064,0.531659339
Alestes dentex,0.58,30.93333333,2.980853443,2.731535348,0.563224976
Alestes macrophthalmus,1.091,38.6,3.173174609,3.21099936,1.091
Allocareproctus jordani,0.41,34,3.062957834,2.675741691,0.41
Allocyttus niger,0.0495,38.55,3.172048765,1.862344077,0.049011197
Alopias pelagicus,0.1015,364.5,5.123395065,4.122925339,0.0998919
Alopias superciliosus,0.09,403.5,5.211687078,4.16490843,0.089788631
Alopias vulpinus,0.1366,404.5,5.213837052,4.274003845,0.114859466
Alosa alosa,0.351,70.3,3.69391065,3.205786826,0.324994623
Alosa braschnikowi,0.3725,39.025,3.182685823,2.708264874,0.335412351
Alosa caspia caspia,0.3,24.1,2.764034085,2.24115534,0.3
Alosa fallax,0.361133333,52.25333333,3.436228,2.956833654,0.331593229
Alosa immaculata,0.273,45.1878,3.310042396,2.738616441,0.268271196
Alosa kessleri,0.47,35.2,3.093085327,2.765183185,0.47
Alosa macedonica,0.393,18.53333333,2.535907074,2.129988012,0.392718118
Alosa mediocris,0.3,61,3.57065967,3.047780925,0.3
Alosa pseudoharengus,0.534666667,19.28333333,2.570364217,2.286119138,0.519702638
Alosa sapidissima,0.383333333,56.06666667,3.497409473,3.03006849,0.340925132
Alosa saposchnikowii,0.2865,30.6,2.971442853,2.415036191,0.277711164
Ambassis agassizii,0.856,5.5,1.480725379,1.413199144,0.856
Ambassis gymnocephalus,1.2,19.5,2.580069223,2.659250469,1.2
Ambassis kopsii,0.73,10.2,2.017200344,1.880523204,0.73
Amblygaster sirm,1.30744,25.7586916,2.821847599,2.869835594,1.116832376
Amblyopsis rosae,0.344,6,1.556302501,1.092860943,0.344
Amblyopsis spelaea,0.2,10,2,1.301029996,0.2
Amblypharyngodon melettinus,1.55,7.5,1.750122527,1.938293648,1.542308035
Amblyraja radiata,0.12,94.51666667,3.951016794,2.965353385,0.103356214
Ameiurus natalis,0.429,21.4,2.660827547,2.293284839,0.429
Ameiurus nebulosus,0.47,37,3.136403448,2.808501306,0.47
