"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
794,"Trisopterus minutus",495,7253,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,"Mediterranean waters","250",NA,NA,3,"1995-12-04T00:00:00.000Z",NA,"1995-12-04T00:00:00.000Z",NA,NA,NA,481
795,"Trisopterus minutus",495,27030,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",27025,14,NA,NA,NA,NA,"Euboikos Gulf","300",NA,NA,3,"1993-09-21T00:00:00.000Z",NA,"1998-07-30T00:00:00.000Z",NA,NA,NA,481
8220,"Trisopterus minutus",495,41894,"female",NA,NA,41894,2,NA,NA,NA,NA,NA,NA,10,26,"TL",41894,13.82,NA,NA,NA,NA,"northern Tyrrhenian Sea, 1985-1987 ","380",13,NA,2355,"2013-06-13T17:17:52.000Z",2,"2013-07-02T00:00:00.000Z",NA,NA,NA,481
8240,"Trisopterus minutus",495,41894,"male",NA,NA,41894,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",41894,12.39,NA,NA,NA,NA,"northern Tyrrhenian Sea, 1985-1987","380",13,NA,2,"2013-07-02T00:00:00.000Z",NA,"2013-07-02T00:00:00.000Z",NA,NA,NA,481
6345,"Trisopterus minutus",495,74347,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",74358,14.8,NA,NA,NA,NA,"west ","826B",NA,NA,1790,"2008-02-12T21:17:35.000Z",1790,"2008-02-12T21:21:14.000Z",NA,NA,NA,481
4284,"Galaxias auratus",7847,51290,"female",2,NA,51290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified","036",NA,NA,10,"2004-06-10T00:00:00.000Z",NA,"2004-06-10T00:00:00.000Z",NA,NA,NA,7543
4283,"Galaxias auratus",7847,51290,"male",1,NA,51290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified","036",NA,NA,10,"2004-06-10T00:00:00.000Z",NA,"2004-06-10T00:00:00.000Z",NA,NA,NA,7543
6505,"Galaxias auratus",7847,74372,"female",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,"FL",NA,NA,NA,NA,NA,NA,"Lakes Crescent and Sorell, Tasmania","036",NA,NA,1790,"2008-02-19T01:21:47.000Z",1790,"2008-02-19T01:34:43.000Z",NA,NA,NA,7543
6504,"Galaxias auratus",7847,74372,"male",1,2,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,"FL",NA,NA,NA,NA,NA,NA,"Lakes Crescent and Sorell, Tasmania","036",NA,NA,1790,"2008-02-19T01:21:14.000Z",1790,"2008-02-19T01:34:29.000Z",NA,NA,NA,7543
6506,"Galaxias fasciatus",12573,74372,"male",2,4,37733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banks Peninsula, South Island","554",NA,NA,1790,"2008-02-19T01:38:43.000Z",NA,"2008-02-19T01:38:43.000Z",NA,NA,NA,12247
