"sname","genus","fam","ord","class","agem","maxl","vbk","temp"
"Dicrolene quinquarius","Dicrolene","Ophidiidae","Ophidiiformes","Actinopterygii",NA,57.7,NA,NA
"Dicrolene tristis","Dicrolene","Ophidiidae","Ophidiiformes","Actinopterygii",NA,17.5,NA,NA
"Dicrossus filamentosus","Dicrossus","Cichlidae","Perciformes","Actinopterygii",NA,3.8,NA,24
"Dicrossus foirni","Dicrossus","Cichlidae","Perciformes","Actinopterygii",NA,7.09,NA,NA
"Dicrossus gladicauda","Dicrossus","Cichlidae","Perciformes","Actinopterygii",NA,4.24,NA,24.4
"Dicrossus maculatus","Dicrossus","Cichlidae","Perciformes","Actinopterygii",NA,5.3,NA,23.5
"Dicrossus warzeli","Dicrossus","Cichlidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Dictyosoma burgeri","Dictyosoma","Stichaeidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Dictyosoma rubrimaculatum","Dictyosoma","Stichaeidae","Perciformes","Actinopterygii",NA,17.9,NA,NA
"Dictyosoma tongyeongensis","Dictyosoma","Stichaeidae","Perciformes","Actinopterygii",NA,28,NA,NA
"Didogobius amicuscaridis","Didogobius","Gobiidae","Perciformes","Actinopterygii",NA,3.15,NA,NA
"Didogobius helenae","Didogobius","Gobiidae","Perciformes","Actinopterygii",NA,2.48,NA,NA
"Didogobius kochi","Didogobius","Gobiidae","Perciformes","Actinopterygii",NA,5.8,NA,NA
"Didogobius splechtnai","Didogobius","Gobiidae","Perciformes","Actinopterygii",NA,2.27,NA,NA
"Didogobius wirtzi","Didogobius","Gobiidae","Perciformes","Actinopterygii",NA,3.05,NA,NA
"Didymothallus criniceps","Didymothallus","Bythitidae","Ophidiiformes","Actinopterygii",NA,5.4,NA,NA
"Didymothallus mizolepis","Didymothallus","Bythitidae","Ophidiiformes","Actinopterygii",NA,5.1,NA,NA
"Didymothallus nudigena","Didymothallus","Bythitidae","Ophidiiformes","Actinopterygii",NA,5.1,NA,NA
"Didymothallus pruvosti","Didymothallus","Bythitidae","Ophidiiformes","Actinopterygii",NA,4.4,NA,NA
"Dieidolycus leptodermatus","Dieidolycus","Zoarcidae","Perciformes","Actinopterygii",NA,16.6,NA,NA
"Dimidiochromis compressiceps","Dimidiochromis","Cichlidae","Perciformes","Actinopterygii",NA,23,NA,25
"Dimidiochromis dimidiatus","Dimidiochromis","Cichlidae","Perciformes","Actinopterygii",NA,20,NA,NA
"Dimidiochromis kiwinge","Dimidiochromis","Cichlidae","Perciformes","Actinopterygii",NA,30,NA,25
"Dimidiochromis strigatus","Dimidiochromis","Cichlidae","Perciformes","Actinopterygii",NA,24.4,NA,NA
"Dinematichthys iluocoeteoides","Dinematichthys","Bythitidae","Ophidiiformes","Actinopterygii",NA,12,NA,NA
"Dinematichthys trilobatus","Dinematichthys","Bythitidae","Ophidiiformes","Actinopterygii",NA,4.6,NA,NA
"Dinolestes lewini","Dinolestes","Dinolestidae","Perciformes","Actinopterygii",NA,84,NA,NA
"Dinoperca petersi","Dinoperca","Dinopercidae","Perciformes","Actinopterygii",NA,75,NA,NA
"Dinotopterus cunningtoni","Dinotopterus","Clariidae","Siluriformes","Actinopterygii",NA,175,NA,NA
"Diodon eydouxii","Diodon","Diodontidae","Tetraodontiformes","Actinopterygii",NA,27,NA,NA
"Diodon holocanthus","Diodon","Diodontidae","Tetraodontiformes","Actinopterygii",NA,50,NA,NA
"Diodon hystrix","Diodon","Diodontidae","Tetraodontiformes","Actinopterygii",NA,91,NA,NA
"Diodon liturosus","Diodon","Diodontidae","Tetraodontiformes","Actinopterygii",NA,65,NA,NA
"Diodon nicthemerus","Diodon","Diodontidae","Tetraodontiformes","Actinopterygii",NA,40,NA,NA
"Diogenichthys atlanticus","Diogenichthys","Myctophidae","Myctophiformes","Actinopterygii",NA,2.9,NA,NA
"Diogenichthys laternatus","Diogenichthys","Myctophidae","Myctophiformes","Actinopterygii",NA,5,NA,NA
"Diogenichthys panurgus","Diogenichthys","Myctophidae","Myctophiformes","Actinopterygii",NA,2.3,NA,NA
"Dionda argentosa","Dionda","Cyprinidae","Cypriniformes","Actinopterygii",NA,7.6,NA,NA
"Dionda diaboli","Dionda","Cyprinidae","Cypriniformes","Actinopterygii",NA,6.4,NA,NA
"Dionda episcopa","Dionda","Cyprinidae","Cypriniformes","Actinopterygii",NA,7.7,NA,24
"Dionda nigrotaeniata","Dionda","Cyprinidae","Cypriniformes","Actinopterygii",NA,9,NA,NA
"Diplacanthopoma brachysoma","Diplacanthopoma","Bythitidae","Ophidiiformes","Actinopterygii",NA,10.2,NA,NA
"Diplacanthopoma japonicus","Diplacanthopoma","Bythitidae","Ophidiiformes","Actinopterygii",NA,40,NA,NA
"Diplacanthopoma jordani","Diplacanthopoma","Bythitidae","Ophidiiformes","Actinopterygii",NA,44.7,NA,NA
"Diplacanthopoma nigripinnis","Diplacanthopoma","Bythitidae","Ophidiiformes","Actinopterygii",NA,30,NA,NA
"Diplecogaster bimaculata","Diplecogaster","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,6,NA,NA
"Diplecogaster ctenocrypta","Diplecogaster","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,1.67,NA,NA
"Diplecogaster megalops","Diplecogaster","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,3.4,NA,NA
"Diplecogaster pectoralis","Diplecogaster","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,2.23,NA,NA
"Diplectrum bivittatum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Diplectrum conceptione","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Diplectrum eumelum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,31,NA,NA
"Diplectrum euryplectrum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,20,NA,NA
"Diplectrum formosum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,30,0.654051325,24.9
"Diplectrum labarum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,26,NA,NA
"Diplectrum macropoma","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,18,NA,NA
"Diplectrum maximum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,37,NA,NA
"Diplectrum pacificum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,28,NA,NA
"Diplectrum radiale","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,26,NA,22.5
"Diplectrum rostrum","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,21,NA,NA
"Diplectrum sciurus","Diplectrum","Serranidae","Perciformes","Actinopterygii",NA,17,NA,NA
"Diplobatis ommata","Diplobatis","Narcinidae","Torpediniformes","Elasmobranchii",NA,25,NA,NA
"Diplocheilichthys pleurotaenia","Diplocheilichthys","Cyprinidae","Cypriniformes","Actinopterygii",NA,22.5,NA,NA
"Diploconger polystigmatus","Diploconger","Congridae","Anguilliformes","Actinopterygii",NA,30,NA,NA
"Diplocrepis puniceus","Diplocrepis","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,12.5,NA,NA
"Diplodus annularis","Diplodus","Sparidae","Perciformes","Actinopterygii",1.571428571,24,0.240017937,18.7
"Diplodus argenteus argenteus","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,37.8,NA,NA
"Diplodus argenteus caudimacula","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Diplodus bellottii","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,30,0.27,22
"Diplodus bermudensis","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Diplodus capensis","Diplodus","Sparidae","Perciformes","Actinopterygii",3,45,0.247,21
"Diplodus cervinus","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,55,0.146,NA
"Diplodus fasciatus","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,40,NA,NA
"Diplodus holbrookii","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,46,NA,NA
"Diplodus hottentotus","Diplodus","Sparidae","Perciformes","Actinopterygii",6,60,0.146,21
"Diplodus noct","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Diplodus omanensis","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Diplodus prayensis","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,35,NA,NA
"Diplodus puntazzo","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,60,0.472,NA
"Diplodus sargus ascensionis","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,22,NA,NA
"Diplodus sargus cadenati","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,45,0.137290128,22
"Diplodus sargus helenae","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,31,NA,NA
"Diplodus sargus kotschyi","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Diplodus sargus lineatus","Diplodus","Sparidae","Perciformes","Actinopterygii",NA,28,NA,NA
"Diplodus sargus sargus","Diplodus","Sparidae","Perciformes","Actinopterygii",2.78,45,0.138632162,18.25
"Diplodus vulgaris","Diplodus","Sparidae","Perciformes","Actinopterygii",2,45,0.220302816,18.86666667
"Diplogrammus goramensis","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Diplogrammus infulatus","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,12,NA,25
"Diplogrammus pauciradiatus","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,5,NA,NA
"Diplogrammus pygmaeus","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,3.7,NA,NA
"Diplogrammus randalli","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,7,NA,26
"Diplogrammus xenicus","Diplogrammus","Callionymidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Diplomystes camposensis","Diplomystes","Diplomystidae","Siluriformes","Actinopterygii",NA,25,NA,NA
"Diplomystes chilensis","Diplomystes","Diplomystidae","Siluriformes","Actinopterygii",NA,23,NA,NA
"Diplomystes nahuelbutaensis","Diplomystes","Diplomystidae","Siluriformes","Actinopterygii",NA,26,NA,NA
"Diplophos australis","Diplophos","Gonostomatidae","Stomiiformes","Actinopterygii",NA,18,NA,NA
"Diplophos orientalis","Diplophos","Gonostomatidae","Stomiiformes","Actinopterygii",NA,32,NA,NA
"Diplophos rebainsi","Diplophos","Gonostomatidae","Stomiiformes","Actinopterygii",NA,25,NA,NA
"Diplophos taenia","Diplophos","Gonostomatidae","Stomiiformes","Actinopterygii",NA,27.6,NA,NA
"Diploprion bifasciatum","Diploprion","Serranidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Diploprion drachi","Diploprion","Serranidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Diplospinus multistriatus","Diplospinus","Gempylidae","Perciformes","Actinopterygii",NA,33,NA,NA
"Diplotaxodon aeneus","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Diplotaxodon apogon","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,11.7,NA,NA
"Diplotaxodon argenteus","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,20.4,NA,NA
"Diplotaxodon ecclesi","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,14.6,NA,NA
"Diplotaxodon greenwoodi","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,24.7,NA,NA
"Diplotaxodon limnothrissa","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,15.4,NA,NA
"Diplotaxodon macrops","Diplotaxodon","Cichlidae","Perciformes","Actinopterygii",NA,12.5,NA,NA
"Diproctacanthus xanthurus","Diproctacanthus","Labridae","Perciformes","Actinopterygii",NA,10,NA,26
"Dipterygonotus balteatus","Dipterygonotus","Caesionidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Dipturus acrobelus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,95,NA,NA
"Dipturus apricus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,65.9,NA,NA
"Dipturus argentinensis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,93.5,NA,7.64
"Dipturus australis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,50,NA,NA
"Dipturus batis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",11,285,0.057,11
"Dipturus bullisi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,48,NA,NA
"Dipturus campbelli","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,66,NA,NA
"Dipturus canutus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,79.5,NA,NA
"Dipturus cerva","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,60,NA,NA
"Dipturus confusus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,64.9,NA,NA
"Dipturus diehli","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,101.2,NA,NA
"Dipturus doutrei","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,100,NA,NA
"Dipturus endeavouri","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,32.1,NA,NA
"Dipturus falloargus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,45,NA,NA
"Dipturus flindersi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,31.6,NA,NA
"Dipturus garricki","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,100,NA,NA
"Dipturus gigas","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,140,NA,NA
"Dipturus grahami","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,62.2,NA,NA
"Dipturus gudgeri","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,140,NA,NA
"Dipturus healdi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,58.7,NA,NA
"Dipturus innominatus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",10.5,240,0.095,11
"Dipturus johannisdavisi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,23,NA,NA
"Dipturus kwangtungensis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,75.7,NA,NA
"Dipturus laevis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,152,0.14,10
"Dipturus lanceorostratus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,82,NA,NA
"Dipturus leptocauda","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,67,NA,NA
"Dipturus macrocauda","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,120,NA,NA
"Dipturus melanospilus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,77.7,NA,NA
"Dipturus mennii","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,160,NA,NA
"Dipturus nidarosiensis","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,200,NA,NA
"Dipturus olseni","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,60,NA,NA
"Dipturus oxyrinchus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,150,0.04,NA
"Dipturus polyommata","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,36,NA,NA
"Dipturus pullopunctatus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,94,0.058768405,21
"Dipturus queenslandicus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,65.9,NA,NA
"Dipturus springeri","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,160,NA,NA
"Dipturus stenorhynchus","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,90,NA,NA
"Dipturus teevani","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,84,NA,NA
"Dipturus tengu","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,100,NA,NA
"Dipturus trachyderma","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,NA,0.082795109,NA
"Dipturus wengi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,112.2,NA,NA
"Dipturus whitleyi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,170,NA,NA
"Dipturus wuhanlingi","Dipturus","Rajidae","Rajiformes","Elasmobranchii",NA,66.8,NA,NA
"Diptychus maculatus","Diptychus","Cyprinidae","Cypriniformes","Actinopterygii",7,70,NA,NA
"Dipulus caecus","Dipulus","Bythitidae","Ophidiiformes","Actinopterygii",NA,19.7,NA,NA
"Dipulus hutchinsi","Dipulus","Bythitidae","Ophidiiformes","Actinopterygii",NA,10.2,NA,NA
"Dipulus norfolkanus","Dipulus","Bythitidae","Ophidiiformes","Actinopterygii",NA,7.3,NA,NA
"Diretmichthys parini","Diretmichthys","Diretmidae","Beryciformes","Actinopterygii",NA,40,NA,NA
"Diretmoides pauciradiatus","Diretmoides","Diretmidae","Beryciformes","Actinopterygii",NA,37,NA,NA
"Diretmoides veriginae","Diretmoides","Diretmidae","Beryciformes","Actinopterygii",NA,23.3,NA,NA
"Diretmus argenteus","Diretmus","Diretmidae","Beryciformes","Actinopterygii",NA,27.6,NA,NA
"Discherodontus ashmeadi","Discherodontus","Cyprinidae","Cypriniformes","Actinopterygii",NA,13.6,1.2,26.8
"Discherodontus halei","Discherodontus","Cyprinidae","Cypriniformes","Actinopterygii",NA,10.5,NA,24.5
"Discherodontus parvus","Discherodontus","Cyprinidae","Cypriniformes","Actinopterygii",NA,6.7,NA,NA
"Dischistodus chrysopoecilus","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,15,NA,NA
"Dischistodus darwiniensis","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,10.3,NA,NA
"Dischistodus fasciatus","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,11.5,NA,NA
"Dischistodus melanotus","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,16,NA,NA
"Dischistodus perspicillatus","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Dischistodus prosopotaenia","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,18.5,NA,NA
"Dischistodus pseudochrysopoecilus","Dischistodus","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Discocheilus multilepis","Discocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,9.91,NA,NA
"Discocheilus wui","Discocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,6.95,NA,NA
"Discogobio antethoracalis","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,11.53,NA,NA
"Discogobio bismargaritus","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,13.8,NA,NA
"Discogobio brachyphysallidos","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,13.2,NA,NA
"Discogobio elongatus","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,9.8,NA,NA
"Discogobio laticeps","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,14.1,NA,NA
"Discogobio longibarbatus","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,10.5,NA,NA
"Discogobio macrophysallidos","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,12.1,NA,NA
"Discogobio multilineatus","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,7.4,NA,NA
"Discogobio poneventralis","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,10.19,NA,NA
"Discogobio propeanalis","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,9.07,NA,NA
"Discogobio tetrabarbatus","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,11,NA,NA
"Discogobio yunnanensis","Discogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,8.4,NA,NA
"Discopyge tschudii","Discopyge","Narcinidae","Torpediniformes","Elasmobranchii",NA,53.8,NA,NA
"Discordipinna filamentosa","Discordipinna","Gobiidae","Perciformes","Actinopterygii",NA,1.57,NA,NA
"Discordipinna griessingeri","Discordipinna","Gobiidae","Perciformes","Actinopterygii",NA,3,NA,25
"Discotrema crinophilum","Discotrema","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,5,NA,NA
"Discotrema monogrammum","Discotrema","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,2.32,NA,NA
"Discotrema zonatum","Discotrema","Gobiesocidae","Gobiesociformes","Actinopterygii",NA,2.29,NA,NA
"Dissostichus eleginoides","Dissostichus","Nototheniidae","Perciformes","Actinopterygii",6,215,0.079670985,NA
"Dissostichus mawsoni","Dissostichus","Nototheniidae","Perciformes","Actinopterygii",13.36,200,0.077569336,NA
"Distichodus affinis","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,20,NA,25
"Distichodus altus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,15,NA,NA
"Distichodus antonii","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,80,NA,NA
"Distichodus atroventralis","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,29,NA,NA
"Distichodus brevipinnis","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,59,NA,NA
"Distichodus decemmaculatus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,7.5,NA,25
"Distichodus engycephalus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,40,NA,NA
"Distichodus fasciolatus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,60,NA,25
"Distichodus hypostomatus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,19.5,NA,NA
"Distichodus kolleri","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,19.5,NA,NA
"Distichodus langi","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,51,NA,NA
"Distichodus lusosso","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,38,NA,24
"Distichodus maculatus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,31,NA,25.5
"Distichodus mossambicus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,57,NA,NA
"Distichodus nefasch","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,83,NA,NA
"Distichodus noboli","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,19,NA,NA
"Distichodus notospilus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,19.5,NA,25
"Distichodus petersii","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,45,NA,NA
"Distichodus rostratus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,76,0.227765156,25
"Distichodus rufigiensis","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,17,NA,NA
"Distichodus schenga","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,50,NA,NA
"Distichodus sexfasciatus","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,76,NA,24
"Distichodus teugelsi","Distichodus","Distichodontidae","Characiformes","Actinopterygii",NA,5.7,NA,NA
"Distocyclus conirostris","Distocyclus","Sternopygidae","Gymnotiformes","Actinopterygii",NA,50,NA,NA
"Distocyclus goajira","Distocyclus","Sternopygidae","Gymnotiformes","Actinopterygii",NA,49.6,NA,NA
"Distoechodon macrophthalmus","Distoechodon","Cyprinidae","Cypriniformes","Actinopterygii",NA,20.02,NA,NA
"Distoechodon tumirostris","Distoechodon","Cyprinidae","Cypriniformes","Actinopterygii",NA,11,NA,NA
"Ditrema jordani","Ditrema","Embiotocidae","Perciformes","Actinopterygii",NA,20.83,NA,NA
"Ditrema temminckii pacificum","Ditrema","Embiotocidae","Perciformes","Actinopterygii",NA,19.34,NA,NA
"Ditrema temminckii temminckii","Ditrema","Embiotocidae","Perciformes","Actinopterygii",NA,24,NA,NA
"Ditrema viride","Ditrema","Embiotocidae","Perciformes","Actinopterygii",NA,19,NA,NA
"Ditropichthys storeri","Ditropichthys","Cetomimidae","Cetomimiformes","Actinopterygii",NA,12.8,NA,NA
"Divandu albimarginatus","Divandu","Cichlidae","Perciformes","Actinopterygii",NA,12.1,NA,NA
"Docimodus evelynae","Docimodus","Cichlidae","Perciformes","Actinopterygii",NA,20.1,NA,25
"Docimodus johnstoni","Docimodus","Cichlidae","Perciformes","Actinopterygii",NA,25,NA,NA
"Doederleinia berycoides","Doederleinia","Acropomatidae","Perciformes","Actinopterygii",NA,40,0.351,10
"Dolichallabes microphthalmus","Dolichallabes","Clariidae","Siluriformes","Actinopterygii",NA,25,NA,NA
"Dolichamphilius brieni","Dolichamphilius","Amphiliidae","Siluriformes","Actinopterygii",NA,5.4,NA,NA
"Dolichamphilius longiceps","Dolichamphilius","Amphiliidae","Siluriformes","Actinopterygii",NA,4.22,NA,NA
"Dolichancistrus atratoensis","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,8.2,NA,NA
"Dolichancistrus carnegiei","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,17,NA,24
"Dolichancistrus cobrensis","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,7.9,NA,NA
"Dolichancistrus fuesslii","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,13.1,NA,NA
"Dolichancistrus pediculatus","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,12,NA,NA
"Dolichancistrus setosus","Dolichancistrus","Loricariidae","Siluriformes","Actinopterygii",NA,12,NA,NA
"Dolicholagus longirostris","Dolicholagus","Bathylagidae","Osmeriformes","Actinopterygii",NA,17.5,NA,NA
"Dolichopteroides binocularis","Dolichopteroides","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,24.2,NA,NA
"Dolichopteryx anascopa","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,17.3,NA,NA
"Dolichopteryx andriashevi","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,6.3,NA,NA
"Dolichopteryx longipes","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,18,0.5,4
"Dolichopteryx parini","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,21.7,NA,NA
"Dolichopteryx pseudolongipes","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,7.99,NA,NA
"Dolichopteryx rostrata","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,6.62,NA,NA
"Dolichopteryx trunovi","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,14.3,NA,NA
"Dolichopteryx vityazi","Dolichopteryx","Opisthoproctidae","Osmeriformes","Actinopterygii",NA,6.08,NA,NA
"Dolichosudis fuliginosa","Dolichosudis","Paralepididae","Aulopiformes","Actinopterygii",NA,24.4,NA,NA
"Dolloidraco longedorsalis","Dolloidraco","Artedidraconidae","Perciformes","Actinopterygii",NA,13.7,NA,NA
"Dolopichthys dinema","Dolopichthys","Oneirodidae","Lophiiformes","Actinopterygii",NA,2.2,NA,NA
"Doraops zuloagai","Doraops","Doradidae","Siluriformes","Actinopterygii",NA,50,NA,NA
"Doras carinatus","Doras","Doradidae","Siluriformes","Actinopterygii",NA,30,NA,NA
"Doras micropoeus","Doras","Doradidae","Siluriformes","Actinopterygii",NA,35,NA,NA
"Doratonotus megalepis","Doratonotus","Labridae","Perciformes","Actinopterygii",NA,9.4,NA,NA
"Dormitator cubanus","Dormitator","Eleotridae","Perciformes","Actinopterygii",NA,9.4,NA,NA
"Dormitator latifrons","Dormitator","Eleotridae","Perciformes","Actinopterygii",NA,41,0.57,29
"Dormitator lebretonis","Dormitator","Eleotridae","Perciformes","Actinopterygii",NA,12.4,NA,25
"Dormitator lophocephalus","Dormitator","Eleotridae","Perciformes","Actinopterygii",NA,9,NA,NA
